loss,accuracy,val_loss,val_accuracy
0.5369714077493895,0.5185093879699707,0.37010799087427443,0.6382181644439697
0.31319991779491335,0.6741774082183838,0.26504740308550073,0.7034451365470886
0.2549148920624796,0.7052916884422302,0.2359761311636186,0.7173205614089966
0.23190010044669832,0.7160851359367371,0.23184724398890366,0.7190791964530945
0.2153996021241291,0.7283427119255066,0.20229026397080477,0.738969087600708
0.20967506530371338,0.7290109395980835,0.19630779482722607,0.7377908229827881
0.2049720444903767,0.7302815318107605,0.1955115172443427,0.7366477251052856
0.20017901994933274,0.7317807674407959,0.1894661294781478,0.7364543080329895
0.197110183754642,0.7362959980964661,0.1873842126363447,0.7469004392623901
0.19254605756311335,0.7407892942428589,0.18947655333647062,0.7347308397293091
0.18979086919002403,0.7433832287788391,0.18944313799087764,0.744631826877594
0.18812466548998197,0.7435547113418579,0.1819798361589375,0.7462145686149597
0.18577888593801714,0.7464476227760315,0.17345613584040573,0.7606879472732544
0.1842082954503323,0.7464168071746826,0.1753409870832751,0.7500307559967041
0.1837111521148867,0.7470543384552002,0.1723523757215931,0.756344199180603
0.18183661944632365,0.7488657236099243,0.18485884680656664,0.7459156513214111
0.17743649100710365,0.7532270550727844,0.16724376300124105,0.7580148577690125
0.1742966935040401,0.7549944519996643,0.16581629375082468,0.7675817608833313
0.17362178360052344,0.7554824948310852,0.1719359724764047,0.7576631307601929
0.17309824702598753,0.7566695213317871,0.1740413847181585,0.7546558976173401
0.17254875579164042,0.7560936212539673,0.1668328064039221,0.7587183117866516
0.17206399859459107,0.7555220723152161,0.1870712845800322,0.7427501082420349
0.17189885753461936,0.7570388317108154,0.1670278270773255,0.7345374226570129
0.17064286704259474,0.7562167048454285,0.16352588941764856,0.7551483511924744
0.170073828526681,0.7585952281951904,0.15969492074227884,0.7657879590988159
0.17027874641911706,0.7566080093383789,0.1580861704002936,0.767669677734375
0.16858726205870334,0.7577335238456726,0.1634641678499152,0.7629389762878418
0.1683906844931734,0.7569465041160583,0.16960146783081156,0.7364718914031982
0.168061771115234,0.756801426410675,0.1618149323260233,0.7566783428192139
